,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
69,"Brand Management: Aligning Business, Brand and Behaviour",University of London,/learn/brand,4.9,Beginner,1 - 3 Months,6900,"Brand Management, Leadership and Management, Marketing"
70,Management of Fashion and Luxury Companies,Università Bocconi,/learn/mafash,4.7,Mixed,1 - 3 Months,5600,"Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Business Analysis, Communication, Design and Product, Market Analysis, Media Strategy & Planning, Product Design"
71,Diversity and inclusion in the workplace,ESSEC Business School,/learn/diversity-inclusion-workplace,4.7,Beginner,1 - 4 Weeks,903,"Human Resources, Leadership and Management, Organizational Development, Change Management, Critical Thinking, Employee Relations, People Analysis, Professional Development, Talent Management, Performance Management, Training"
72,Introduction to Healthcare,Stanford University,/learn/intro-to-healthcare,4.8,Beginner,1 - 3 Months,765,
73,Connected Leadership,Yale University,/learn/connected-leadership,4.8,Beginner,1 - 3 Months,236,"Leadership and Management, Change Management, People Management, Process Analysis"
74,Share Data Through the Art of Visualization,Google,/learn/visualize-data,4.6,Beginner,1 - 4 Weeks,7600,"Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software"
75,Data Analysis with R Programming,Google,/learn/data-analysis-r,4.8,Beginner,1 - 3 Months,8600,"R Programming, Data Analysis, Computer Programming, SQL"
76,Project Launch,"University of California, Irvine",/learn/project-management,4.7,Beginner,1 - 3 Months,238,"Leadership and Management, Project Management"
77,Bookkeeping Basics,Intuit,/learn/bookkeeping-basics,4.6,Beginner,1 - 4 Weeks,3900,"Accounting, General Accounting, Accounting Software, Finance"
78,IT Security: Defense against the digital dark arts,Google,/learn/it-security,4.8,Beginner,1 - 3 Months,20800,"Cryptography, Network Security, System Security"
79,Build Wireframes and Low-Fidelity Prototypes,Google,/learn/wireframes-low-fidelity-prototypes,4.9,Beginner,1 - 4 Weeks,7500,"Product Design, User Experience, User Research"
80,Introduction to Machine Learning in Production,DeepLearning.AI,/learn/introduction-to-machine-learning-in-production,4.8,Advanced,1 - 4 Weeks,2600,"Machine Learning, Applied Machine Learning, Leadership and Management"
81,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,/learn/introduction-cybersecurity-cyber-attacks,4.6,Beginner,1 - 4 Weeks,14600,"Cryptography, Security Software, Cyberattacks, Leadership and Management"
82,The Strategy of Content Marketing,"University of California, Davis",/learn/content-marketing,4.5,Intermediate,1 - 3 Months,4200,"Digital Marketing, Marketing, Writing, Strategy"
83,Artificial Intelligence in Marketing,University of Virginia,/learn/uva-darden-artificial-intelligence-marketing,4.5,Beginner,1 - 4 Weeks,144,"Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Machine Learning, Machine Learning Algorithms, Market Research, Strategy and Operations"
84,Capstone: Applying Project Management in the Real World,Google,/learn/applying-project-management,4.8,Beginner,1 - 4 Weeks,6700,"Communication, Leadership and Management, Planning, Problem Solving, Project Management"
85,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,/learn/classification-vector-spaces-in-nlp,4.6,Intermediate,1 - 4 Weeks,4100,"Machine Learning, Natural Language Processing, Probability & Statistics, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Linear Algebra, Mathematics, Statistical Machine Learning"
86,Put It to Work: Prepare for Cybersecurity Jobs,Google,/learn/prepare-for-cybersecurity-jobs,4.9,Beginner,1 - 3 Months,845,"Computer Programming, Python Programming, SQL"
87,Fundamentals of Quantitative Modeling,University of Pennsylvania,/learn/wharton-quantitative-modeling,4.6,Mixed,1 - 4 Weeks,8600,"Business Analysis, Data Model, Finance, Forecasting, General Statistics, Mathematical Theory & Analysis, Probability & Statistics, Regression, Statistical Analysis, Linear Algebra"
88,Machine Learning with Python,IBM,/learn/machine-learning-with-python,4.7,Intermediate,1 - 3 Months,14700,"Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression"
89,Databases and SQL for Data Science with Python,IBM,/learn/sql-data-science,4.6,Beginner,1 - 3 Months,18500,"Python Programming, Computational Thinking, Computer Programming, Data Analysis, Data Management, Database Administration, Database Application, Database Design, Databases, SQL, Cloud Computing, IBM Cloud"
